player_id,first_name,last_name,position,price,team,team_abbr,team_id,home_away,opponent,opponent_abbr,avg_pts,popularity,is_injured,prob_playing,round
3766,Sasha,Vezenkov,Forward,17.0,Olympiacos Piraeus,OLY,149,away,Kosner Baskonia Vitoria-Gasteiz,KBA,0,0.4,False,1,1
3765,Mike,James,Guard,16.0,Anadolu Efes Istanbul,EFS,146,away,FC Barcelona,BAR,0,0.019,False,1,1
3770,Chima,Moneke,Forward,15.5,Crvena Zvezda Meridianbet Belgrade,CZV,144,home,Zalgiris Kaunas,ZAL,0,0.035,False,1,1
3903,Elijah,Bryant,Guard,15.5,Hapoel IBI Tel Aviv,HTA,165,home,FC Bayern Munich,BAY,0,0.057,False,1,1
11549,Jonas,Valanciunas,Center,15.5,Zalgiris Kaunas,ZAL,155,away,Crvena Zvezda Meridianbet Belgrade,CZV,0,0.27,False,1,1
3782,Nikola,Milutinov,Center,15.3,Olympiacos Piraeus,OLY,149,away,Kosner Baskonia Vitoria-Gasteiz,KBA,0,0.078,False,1,1
3795,TJ,Shorts,Guard,14.9,Valencia Basket,VBC,174,away,Besiktas Istanbul,BJK,0,0.065,False,1,2
3812,Jaylen,Hoard,Forward,14.8,Maccabi Rapyd Tel Aviv,MTA,148,away,LDLC ASVEL Villeurbanne,ASV,0,0.02,False,1,1
3834,Nadir,Hifi,Guard,14.8,Paris Basketball,PBB,150,away,Panathinaikos AKTOR Athens,PAO,0,0.021,False,1,1
3887,Sylvain,Francisco,Guard,14.8,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.145,False,1,1
3769,Walter,Tavares,Center,14.7,Real Madrid,RMB,153,away,Dubai Basketball,DUB,0,0.013,False,1,1
3805,Kendrick,Nunn,Guard,14.6,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.006,True,0,1
4233,Mfiondu,Kabengele,Center,14.6,Dubai Basketball,DUB,311,home,Real Madrid,RMB,0,0.036,False,1,1
11487,Dario,Saric,Forward,14.5,Anadolu Efes Istanbul,EFS,146,away,FC Barcelona,BAR,0,0.027,False,1,1
3768,Mathias,Lessort,Center,14.4,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.058,False,1,1
3771,Wade,Baldwin,Guard,14.3,Fenerbahce Tarfin Istanbul,FBT,147,home,Virtus Bologna,VIR,0,0.026,False,1,2
11526,Guerschon,Yabusele,Forward,14.3,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.107,False,1,1
3857,Dan,Oturu,Center,14.2,Hapoel IBI Tel Aviv,HTA,165,home,FC Bayern Munich,BAY,0,0.083,False,1,1
3843,Moses,Wright,Center,14.0,Armani Olimpia Milan,MIL,145,away,Partizan Mozzart Bet Belgrade,PAR,0,0.083,False,1,2
3774,Tornike,Shengelia,Forward,13.8,Dubai Basketball,DUB,311,home,Real Madrid,RMB,0,0.022,False,1,1
3772,Facundo,Campazzo,Guard,13.7,Real Madrid,RMB,153,away,Dubai Basketball,DUB,0,0.017,False,1,1
3791,Carlik,Jones,Guard,13.6,Partizan Mozzart Bet Belgrade,PAR,152,home,Armani Olimpia Milan,MIL,0,0.271,False,1,2
3794,Kevin,Punter,Guard,13.6,FC Barcelona,BAR,140,home,Anadolu Efes Istanbul,EFS,0,0.026,False,1,1
3767,Shane,Larkin,Guard,13.5,Fenerbahce Tarfin Istanbul,FBT,147,home,Virtus Bologna,VIR,0,0.018,False,1,2
4096,Mckinley,Wright,Guard,13.5,Dubai Basketball,DUB,311,home,Real Madrid,RMB,0,0.024,False,1,1
3787,Nigel,Hayes-davis,Forward,13.4,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.005,True,0,1
3910,Roman,Sorkin,Center,13.4,Maccabi Rapyd Tel Aviv,MTA,148,away,LDLC ASVEL Villeurbanne,ASV,0,0.018,False,1,1
3790,Dzanan,Musa,Guard,13.3,Dubai Basketball,DUB,311,home,Real Madrid,RMB,0,0.014,False,1,1
3799,Zach,Leday,Forward,13.3,Hapoel IBI Tel Aviv,HTA,165,home,FC Bayern Munich,BAY,0,0.049,False,1,1
3793,Jordan,Nwora,Forward,13.0,Crvena Zvezda Meridianbet Belgrade,CZV,144,home,Zalgiris Kaunas,ZAL,0,0.139,False,1,1
3864,Timothé,Luwawu-Cabarrot,Forward,12.8,Real Madrid,RMB,153,away,Dubai Basketball,DUB,0,0.06,False,1,1
4252,Jean,Montero,Guard,12.8,Olympiacos Piraeus,OLY,149,away,Kosner Baskonia Vitoria-Gasteiz,KBA,0,0.179,False,1,1
3926,Filip,Petrusev,Forward,12.7,Dubai Basketball,DUB,311,home,Real Madrid,RMB,0,0.029,False,1,1
7201,Dwayne,Bacon,Forward,12.7,Dubai Basketball,DUB,311,home,Real Madrid,RMB,0,0.014,False,1,1
8567,Talen,Horton-Tucker,Guard,12.7,Fenerbahce Tarfin Istanbul,FBT,147,home,Virtus Bologna,VIR,0,0.09,False,1,2
3874,Tyler,Dorsey,Guard,12.6,Olympiacos Piraeus,OLY,149,away,Kosner Baskonia Vitoria-Gasteiz,KBA,0,0.042,False,1,1
3785,Josh,Nebo,Center,12.5,FC Barcelona,BAR,140,home,Anadolu Efes Istanbul,EFS,0,0.039,False,1,1
11507,Amir,Coffey,Forward,12.5,Hapoel IBI Tel Aviv,HTA,165,home,FC Bayern Munich,BAY,0,0.007,False,1,1
3775,Shavon,Shields,Forward,12.4,Fenerbahce Tarfin Istanbul,FBT,147,home,Virtus Bologna,VIR,0,0.015,False,1,2
3777,Will,Clyburn,Forward,12.4,Fenerbahce Tarfin Istanbul,FBT,147,home,Virtus Bologna,VIR,0,0.038,False,1,2
7218,Kameron,Taylor,Forward,12.4,Valencia Basket,VBC,174,away,Besiktas Istanbul,BJK,0,0.049,False,1,2
11514,Patty,Mills,Guard,12.3,LDLC ASVEL Villeurbanne,ASV,139,home,Maccabi Rapyd Tel Aviv,MTA,0,0.043,False,1,1
3807,Elie,Okobo,Guard,12.2,Dubai Basketball,DUB,311,home,Real Madrid,RMB,0,0.012,False,1,1
4882,Daniel,Theis,Center,12.2,Maccabi Rapyd Tel Aviv,MTA,148,away,LDLC ASVEL Villeurbanne,ASV,0,0.033,False,1,1
7202,Justin,Robinson,Guard,12.2,FC Barcelona,BAR,140,home,Anadolu Efes Istanbul,EFS,0,0.032,False,1,1
4247,Chris,Jones,Guard,12.1,Crvena Zvezda Meridianbet Belgrade,CZV,144,home,Zalgiris Kaunas,ZAL,0,0.041,False,1,1
3870,Tyrique,Jones,Center,12.0,Olympiacos Piraeus,OLY,149,away,Kosner Baskonia Vitoria-Gasteiz,KBA,0,0.018,False,1,1
3898,Ante,Zizic,Center,12.0,Besiktas Istanbul,BJK,158,home,Valencia Basket,VBC,0,0.022,False,1,2
7193,Vasilije,Micic,Guard,12.0,Hapoel IBI Tel Aviv,HTA,165,home,FC Bayern Munich,BAY,0,0.018,False,1,1
3820,Alec,Peters,Forward,11.7,Armani Olimpia Milan,MIL,145,away,Partizan Mozzart Bet Belgrade,PAR,0,0.207,False,1,2
3934,Isaac,Bonga,Forward,11.5,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.119,False,1,1
11527,Tj,Warren,Forward,11.5,Paris Basketball,PBB,150,away,Panathinaikos AKTOR Athens,PAO,0,0.029,False,1,1
3825,Juancho,Hernangomez,Forward,11.4,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.025,False,1,1
3899,Carsen,Edwards,Guard,11.4,Zalgiris Kaunas,ZAL,155,away,Crvena Zvezda Meridianbet Belgrade,CZV,0,0.066,False,1,1
3810,Bonzie,Colson,Forward,11.3,Maccabi Rapyd Tel Aviv,MTA,148,away,LDLC ASVEL Villeurbanne,ASV,0,0.018,False,1,1
4712,Marcus,Bingham,Center,11.3,Fenerbahce Tarfin Istanbul,FBT,147,home,Virtus Bologna,VIR,0,0.013,False,1,2
11503,Marjon,Beauchamp,Forward,11.3,FC Bayern Munich,BAY,141,away,Hapoel IBI Tel Aviv,HTA,0,0.014,False,1,1
7221,Azuolas,Tubelis,Forward,11.1,Zalgiris Kaunas,ZAL,155,away,Crvena Zvezda Meridianbet Belgrade,CZV,0,0.085,False,1,1
11528,Tyson,Etienne,Guard,11.1,Paris Basketball,PBB,150,away,Panathinaikos AKTOR Athens,PAO,0,0.004,False,1,1
3808,Codi,Miller-Mcintyre,Guard,11.0,Olympiacos Piraeus,OLY,149,away,Kosner Baskonia Vitoria-Gasteiz,KBA,0,0.099,False,1,1
4164,Johnathan,Motley,Center,11.0,Crvena Zvezda Meridianbet Belgrade,CZV,144,home,Zalgiris Kaunas,ZAL,0,0.042,False,1,1
7269,Austin,Wiley,Center,11.0,FC Bayern Munich,BAY,141,away,Hapoel IBI Tel Aviv,HTA,0,0.006,False,1,1
11543,Rasheed,Bello,Guard,11.0,Virtus Bologna,VIR,154,away,Fenerbahce Tarfin Istanbul,FBT,0,0.003,False,1,2
3821,Donta,Hall,Center,10.9,Olympiacos Piraeus,OLY,149,away,Kosner Baskonia Vitoria-Gasteiz,KBA,0,0.013,False,1,1
11522,Keaton,Wallace,Guard,10.8,Maccabi Rapyd Tel Aviv,MTA,148,away,LDLC ASVEL Villeurbanne,ASV,0,0.031,False,1,1
3779,Kostas,Sloukas,Guard,10.7,Panathinaikos AKTOR Athens,PAO,151,home,Paris Basketball,PBB,0,0.011,False,1,1
7258,Daron,Russell,Guard,10.7,Anadolu Efes Istanbul,EFS,146,away,FC Barcelona,BAR,0,0.005,False,1,1
3815,Trent,Forrest,Guard,10.6,Fenerbahce Tarfin Istanbul,FBT,147,home,Virtus Bologna,VIR,0,0.023,False,1,2
3888,Sterling,Brown,Guard,10.6,Zalgiris Kaunas,ZAL,155,away,Crvena Zvezda Meridianbet Belgrade,CZV,0,0.037,False,1,1
11494,Patrick,Baldwin Jr,Center,10.6,Crvena Zvezda Meridianbet Belgrade,CZV,144,home,Zalgiris Kaunas,ZAL,0,0.044,False,1,1
11504,Johannes,Thiemann,Center,10.6,FC Bayern Munich,BAY,141,away,Hapoel IBI Tel Aviv,HTA,0,0.025,False,1,1
7204,TJ,Leaf,Forward,10.5,Maccabi Rapyd Tel Aviv,MTA,148,away,LDLC ASVEL Villeurbanne,ASV,0,0.002,True,0,1
8808,Eugene,Omoruyi,Forward,10.5,Besiktas Istanbul,BJK,158,home,Valencia Basket,VBC,0,0.033,False,1,2
11544,Trent,Frazier,Guard,10.5,Virtus Bologna,VIR,154,away,Fenerbahce Tarfin Istanbul,FBT,0,0.006,False,1,2
3804,Tadas,Sedekerskis,Forward,10.4,Kosner Baskonia Vitoria-Gasteiz,KBA,143,home,Olympiacos Piraeus,OLY,0,0.009,False,1,1
3822,Joel,Bolomboy,Center,10.4,LDLC ASVEL Villeurbanne,ASV,139,home,Maccabi Rapyd Tel Aviv,MTA,0,0.09,False,1,1
3833,Armoni,Brooks,Guard,10.3,Valencia Basket,VBC,174,away,Besiktas Istanbul,BJK,0,0.069,False,1,2
3993,Matthew,Strazel,Guard,10.3,Anadolu Efes Istanbul,EFS,146,away,FC Barcelona,BAR,0,0.028,False,1,1
4808,Bruno,Fernando,Center,10.3,Anadolu Efes Istanbul,EFS,146,away,FC Barcelona,BAR,0,0.032,False,1,1
7237,Nathan,Reuvers,Forward,10.3,Valencia Basket,VBC,174,away,Besiktas Istanbul,BJK,0,0.023,False,1,2
3792,Jordan,Loyd,Guard,10.2,Anadolu Efes Istanbul,EFS,146,away,FC Barcelona,BAR,0,0.009,False,1,1
3946,Andreas,Obst,Guard,10.2,FC Bayern Munich,BAY,141,away,Hapoel IBI Tel Aviv,HTA,0,0.036,False,1,1
7197,Oshae,Brissett,Forward,10.2,Maccabi Rapyd Tel Aviv,MTA,148,away,LDLC ASVEL Villeurbanne,ASV,0,0.014,False,1,1
7362,Umoja,Gibson,Guard,10.2,FC Barcelona,BAR,140,home,Anadolu Efes Istanbul,EFS,0,0.003,False,1,1
3806,Duane,Washington,Guard,10.1,FC Bayern Munich,BAY,141,away,Hapoel IBI Tel Aviv,HTA,0,0.037,False,1,1
