abbr,vacated_G,kept_G,vacated_F,kept_F,vacated_C,kept_C,total_vacated
ASV,48.0,0.0,39.0,39.0,76.0,0.0,163.0
BAR,38.0,41.0,45.0,19.0,59.0,0.0,142.0
BAY,38.0,59.0,22.0,46.0,29.0,8.0,89.0
CZV,40.0,23.0,23.0,86.0,17.0,12.0,80.0
DUB,13.0,57.0,0.0,73.0,5.0,53.0,18.0
EFS,80.0,41.0,25.0,29.0,7.0,22.0,112.0
FBT,39.0,49.0,61.0,26.0,23.0,3.0,123.0
HTA,24.0,76.0,31.0,26.0,12.0,32.0,67.0
KBA,44.0,46.0,32.0,36.0,33.0,12.0,109.0
MIL,58.0,41.0,47.0,16.0,20.0,19.0,125.0
MTA,45.0,40.0,4.0,96.0,17.0,0.0,66.0
OLY,22.0,52.0,15.0,73.0,1.0,39.0,38.0
PAO,23.0,66.0,36.0,44.0,24.0,8.0,83.0
PAR,46.0,11.0,92.0,19.0,26.0,8.0,164.0
PBB,18.0,71.0,24.0,51.0,2.0,34.0,44.0
RMB,0.0,64.0,46.0,35.0,6.0,49.0,52.0
VBC,69.0,30.0,14.0,41.0,35.0,14.0,118.0
VIR,74.0,14.0,63.0,25.0,0.0,24.0,137.0
ZAL,30.0,49.0,13.0,76.0,33.0,0.0,76.0
